
DGX,Numtrials
128,5129.02,5686.91,5082.67,4323.70,63.04,4725.32,2300.06,4360.16,31.56,407.87,795.58,747.08,2821.09,5197.97,

DGX,Numtrials
Blocksize,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216,
8,0.61,1.33,2.69,0.82,1.75,4.07,7.15,16.87,32.07,354.87,797.39,1306.98,2055.85,2881.30,
16,0.66,1.32,2.66,5.42,15.18,30.31,60.59,119.92,235.76,446.60,837.60,1503.22,2597.03,4103.95,
32,0.66,1.32,2.68,5.42,15.24,30.23,60.67,120.91,237.90,464.68,891.39,508.94,2820.30,63.99,
64,0.66,1.32,2.67,5.43,1.96,4.04,52.58,131.21,32.94,495.63,172.75,596.44,2682.96,5099.38,
128,0.66,1.33,2.68,5.42,15.15,30.88,60.24,122.17,238.70,467.99,892.89,1660.23,3143.36,5618.17,

DGX,Numtrials
Blocksize,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216,
8,5308.65,61.95,4853.17,5647.46,5668.65,5650.57,5681.61,5641.93,5632.30,5590.38,5671.41,5627.70,5617.51,5640.72,
16,5630.97,5668.53,5633.02,5687.22,5698.10,5703.49,5647.83,5646.86,5637.51,5635.44,5674.85,5637.99,5644.61,5620.28,
32,5658.68,5688.27,5650.14,5583.83,5642.06,5642.18,5660.02,5621.25,5672.52,5635.14,5645.88,5642.42,5680.63,5673.07,
64,5636.05,5602.21,5663.39,1485.06,5175.49,4722.55,4607.71,4914.82,4376.43,2736.00,4754.97,4604.27,1921.86,4588.47,
128,4242.50,4451.61,4703.40,57.87,4257.04,4952.56,5077.06,63.60,895.24,2689.77,3920.64,4375.19,5258.87,2844.61,

DGX,Numtrials
Blocksize,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216,
8,64.11,4941.45,5826.46,5193.70,5948.56,4914.77,5280.16,5767.43,65.32,5719.11,5764.38,5759.51,5703.99,5724.54,
16,5742.16,4862.40,5661.06,5700.70,5698.97,5669.45,5708.84,5688.95,5670.12,5672.76,5736.95,5726.98,5661.86,5705.67,
32,5702.81,5653.86,5659.35,5738.52,5097.70,64.38,65.90,57.18,4790.82,4517.82,4797.70,63.72,4989.32,64.19,
64,63.58,4953.45,4512.10,63.76,4909.57,4831.66,4224.01,4926.27,4740.65,4362.89,4730.56,4925.85,65.19,4321.49,
128,5139.12,5160.42,5283.08,4582.02,4420.27,3679.06,1920.71,1395.30,1077.99,2168.44,756.47,1203.89,4171.01,4273.66,

DGX,Numtrials
Blocksize,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,16777216,
8,0.66,1.33,2.67,6.08,15.29,25.87,48.82,89.38,26.30,60.84,156.41,360.29,1602.34,1440.89,
16,0.66,1.33,2.68,5.47,12.86,24.84,48.63,81.30,163.70,56.66,138.41,314.05,1536.11,3602.26,
32,0.66,1.33,2.68,5.46,12.28,24.43,40.62,12.88,25.70,63.03,140.64,251.62,905.61,4540.51,
64,0.66,1.33,2.66,5.98,12.26,24.50,50.00,124.82,186.27,416.13,603.63,1619.03,2717.11,4893.76,
128,0.66,1.33,2.68,5.46,14.13,23.74,60.91,100.23,213.39,391.72,742.31,1722.84,2736.60,5022.83,

,DGX,Numtrials
Blocksize,,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,
,8,0.66,1.32,2.68,5.42,7.39,30.11,61.28,126.94,231.76,435.38,779.84,
,16,0.66,1.32,2.66,5.43,15.32,30.65,60.97,120.71,238.01,457.15,848.96,
,32,0.66,2.01,2.66,5.42,15.42,30.59,61.31,121.08,241.51,464.77,874.19,
,64,0.66,1.32,2.67,5.43,15.51,30.53,63.65,121.62,240.27,470.51,898.82,
,128,0.66,1.33,2.67,5.42,15.34,30.44,61.72,121.31,242.93,469.19,895.86,

,DGX,Numtrials
Blocksize,,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,
,8,0.66,1.32,2.67,0.84,1.82,3.52,8.34,19.23,201.40,359.59,701.76,
,16,0.66,0.21,2.68,0.84,1.73,4.51,7.80,19.52,234.85,380.89,845.29,
,32,0.13,1.33,2.68,5.41,1.68,3.36,6.73,104.89,27.92,459.80,728.82,
,64,0.66,1.33,2.68,5.47,1.69,3.67,6.83,17.14,206.57,406.14,800.24,
,128,0.66,1.32,2.67,5.40,15.30,31.30,60.93,123.37,240.72,471.13,897.36,

,DGX,Numtrials
Blocksize,,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,
,8,181.82,307.69,533.33,1066.67,1684.21,2560.00,3282.05,3878.79,4302.52,4511.01,4675.80,
,16,181.82,307.69,615.38,1333.33,2285.71,3555.56,5333.33,6564.10,7641.79,8677.97,9061.95,
,32,181.82,333.33,727.27,1454.55,2666.67,4923.08,7529.41,10240.00,12800.00,15283.58,16925.62,
,64,166.67,400.00,727.27,1333.33,2909.09,4923.08,8000.00,13473.68,17066.67,20078.43,23272.73,
,128,181.82,363.64,500.00,1600.00,2909.09,5333.33,9142.86,15058.82,17066.67,20897.96,23813.95,

,DGX,Numtrials
Blocksize,,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,
,8,181.82,333.33,615.38,1230.77,2000.00,2782.61,3657.14,4266.67,4612.61,4853.08,4995.12,5025.77,5081.89,
,16,200.00,363.64,727.27,1333.33,2461.54,3764.71,5565.22,7111.11,8258.06,9142.86,9660.38,9869.88,10088.67,
,32,181.82,363.64,800.00,1454.55,2666.67,4923.08,7529.41,10666.67,13473.68,16253.97,17964.91,18962.96,19787.44,
,64,181.82,333.33,727.27,1333.33,2666.67,5333.33,9142.86,12800.00,17655.17,21333.33,24674.70,27125.83,27397.99,
,128,181.82,363.64,666.67,1600.00,2666.67,5333.33,9846.15,15058.82,18285.71,22755.56,25600.00,27675.67,28743.86,

,DGX,Numtrials
Blocksize,,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,
,8,153.85,333.33,615.38,1000.00,1777.78,2000.00,3200.00,3506.85,4302.52,4551.11,4675.80,4751.74,4782.25,
,16,153.85,363.64,666.67,1230.77,2000.00,3555.56,5333.33,5818.18,7641.79,8462.81,9022.03,9351.60,9459.58,
,32,153.85,363.64,727.27,1230.77,2285.71,4000.00,7111.11,9846.15,12190.48,13837.84,16650.41,17886.46,18575.96,
,64,153.85,210.53,615.38,1230.77,2285.71,4571.43,8000.00,9846.15,16000.00,19320.75,22755.56,25128.83,25680.25,
,128,153.85,307.69,615.38,1230.77,2461.54,4923.08,8000.00,12800.00,16000.00,20078.43,23272.73,26089.17,26256.41,

,DGX,Numtrials
Blocksize,,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608,
,8,181.82,363.64,571.43,1142.86,1882.35,2560.00,3368.42,3938.46,4338.98,4571.43,4686.50,4740.74,4787.84,
,16,142.86,333.33,615.38,1230.77,2133.33,3368.42,4740.74,6564.10,7641.79,8192.00,8982.46,9330.30,9470.52,
,32,166.67,333.33,666.67,1230.77,2461.54,4000.00,6736.84,9481.48,12487.81,15283.58,16650.41,17886.46,7801.91,
,64,142.86,363.64,666.67,1333.33,2461.54,4571.43,8533.33,14222.22,16516.13,20078.43,23011.24,24674.70,25600.00,
,128,166.67,285.71,666.67,1333.33,2461.54,4571.43,9846.15,13473.68,16000.00,20078.43,23011.24,25440.99,26340.84,
